LTE,313,100,23379,92055810,0,-118.38111877441,33.872909545898,1000,1,1,1477602130,1477602130,0
LTE,313,10,10249,179290882,0,-95.354461,35.133593,1942,2,1,1483854336,1484175955,0
LTE,313,10,10249,179284737,0,-95.264521,35.75365,6209,2,1,1486304780,1487226599,0
LTE,313,10,10249,179279873,0,-95.149154663086,35.599136352539,1000,1,1,1486081335,1486081335,0
LTE,313,10,10249,179290883,0,-95.320816040039,35.053939819336,1000,1,1,1486557798,1486557798,0
LTE,313,100,23381,92057859,0,-118.30009460449,34.121475219727,1000,1,1,1487276935,1487276935,0
LTE,313,100,23377,92055297,0,-118.44841003418,34.043197631836,1000,1,1,1489619382,1489619382,0
LTE,313,10,10249,179279619,0,-95.758895874023,35.519485473633,1000,1,1,1491001428,1491001428,0
LTE,313,100,16671,53764865,0,-87.684296,42.065468,1000,1,1,1522183610,1522183610,0
LTE,313,100,9857,197645327,0,-81.374878,35.689522,1000,1,1,1524091255,1524091255,0
LTE,313,100,13326,180619032,0,-82.29364,26.932463,1000,1,1,1524358543,1524358543,0
UMTS,313,100,16924,42258449,0,-85.227257,34.833597,1000,2,1,1524401394,1528096952,0
LTE,313,100,14989,46313994,0,-89.990582,29.700921,1000,2,1,1526091214,1526098619,0
LTE,313,100,22272,11095045,0,-73.963127,42.796078,1000,1,1,1527168107,1527168107,0
UMTS,313,100,1541,13120783,0,-73.155911,41.815172,1000,2,1,1527193667,1528980832,0
UMTS,313,100,1541,13101585,0,-73.068619,41.777586,1000,2,1,1527871543,1529265067,0
UMTS,313,100,49997,125703944,0,-147.572388,64.919014,1000,1,1,1533542324,1533542324,0
LTE,313,100,27176,134605329,0,-97.378899,31.990198,1000,1,1,1537155225,1537155225,0
LTE,313,100,27194,133552912,0,-97.445793,32.886913,1000,2,1,1539318515,1563753741,0
LTE,313,100,27197,133875415,0,-97.445819,32.886936,1000,2,1,1539319027,1563756810,0
LTE,313,100,27194,133732866,0,-97.446037,32.886917,1000,2,1,1539322969,1563599741,0
LTE,313,100,27194,133732894,0,-97.44593,32.886978,1000,2,1,1539329208,1564457900,0
LTE,313,100,27194,133732568,0,-97.435951,32.881197,1117,2,1,1539372772,1563756901,0
LTE,313,100,27194,133247774,0,-97.413621,32.873286,1712,3,1,1539606208,1583939845,0
LTE,313,100,27194,134000669,0,-97.409576,32.869835,1000,1,1,1539606257,1539606257,0
LTE,313,100,27194,134491679,0,-97.405773,32.861012,1028,2,1,1539606261,1563799672,0
LTE,313,100,27194,134000662,0,-97.397865,32.869747,1000,1,1,1539606345,1539606345,0
LTE,313,100,27209,133586649,0,-97.346893,32.842464,1000,1,1,1539607153,1539607153,0
LTE,313,100,27209,133492441,0,-97.319778,32.840978,2517,2,1,1539607154,1564579070,0
LTE,313,100,27209,133717721,0,-97.345955,32.842503,1000,1,1,1539607161,1539607161,0
LTE,313,100,27209,133491929,0,-97.283378,32.850349,6082,9,1,1539607162,1572024519,0
LTE,313,100,27209,133724633,0,-97.345467,32.842506,1000,1,1,1539607164,1539607164,0
LTE,313,100,27209,133711833,0,-97.293319,32.841283,4695,2,1,1539607181,1564579374,0
LTE,313,100,27194,133979664,0,-97.336444,32.841479,1000,3,1,1539607186,1582219749,0
LTE,313,100,27194,134150929,0,-97.323326,32.837166,1051,2,1,1539607333,1564665603,0
LTE,313,100,27194,134150943,0,-97.328842,32.839836,1000,1,1,1539607380,1539607380,0
